"Submit Withdrawal","Submit Withdrawal"
"Cancel","Cancel"
"Withdrawal","Withdrawal"
"Withdrawals","Withdrawals"
"Withdrawal Right","Withdrawal Right"
"Withdrawal Settings","Withdrawal Settings"
"Enable Withdrawal","Enable Withdrawal"
"Show on Order List","Show on Order List"
"Show on Order Detail","Show on Order Detail"
"SKU Regex Pattern","SKU Regex Pattern"
"Default Withdrawal Period (Days)","Default Withdrawal Period (Days)"
"Delivery Date Order Attribute","Delivery Date Order Attribute"
"Delivery Date Withdrawal Period (Days)","Delivery Date Withdrawal Period (Days)"
"Withdrawal Period per Shipping Method","Withdrawal Period per Shipping Method"
"Notification Email Recipients","Notification Email Recipients"
"Automatic Credit Memo","Automatic Credit Memo"
"Period Start From","Period Start From"
"Order Date","Order Date"
"Shipment Date","Shipment Date"
"Email Sender","Email Sender"
"Customer Email Template","Customer Email Template"
"Store Notification Email Template","Store Notification Email Template"
"Pending","Pending"
"Confirmed","Confirmed"
"Rejected","Rejected"
"A withdrawal request already exists for this order.","A withdrawal request already exists for this order."
"The withdrawal period has expired.","The withdrawal period has expired."
"Withdrawal requested","Withdrawal requested"
"Withdrawal has been sent via email, you will automatically receive a copy of the message.","Withdrawal has been sent via email, you will automatically receive a copy of the message."
"Withdrawal is currently not available.","Withdrawal is currently not available."
"Order not found.","Order not found."
"Invalid form key. Please try again.","Invalid form key. Please try again."
"I would like to exercise my <strong>right of withdrawal.</strong><br/><strong>Note:</strong> The right of withdrawal only applies to accessories and the %1 oven <strong>(baked goods are excluded from withdrawal).</strong><br/>%1 may contact me to arrange the return.","I would like to exercise my <strong>right of withdrawal.</strong><br/><strong>Note:</strong> The right of withdrawal only applies to accessories and the %1 oven <strong>(baked goods are excluded from withdrawal).</strong><br/>%1 may contact me to arrange the return."
"Company Name","Company Name"
"Company name used in withdrawal confirmation dialogs and email templates.","Company name used in withdrawal confirmation dialogs and email templates."
"View Order","View Order"
"Create Credit Memo","Create Credit Memo"
"Are you sure you want to create a credit memo for this withdrawal?","Are you sure you want to create a credit memo for this withdrawal?"
"Credit memo has been created.","Credit memo has been created."
"Withdrawal Notification","Withdrawal Notification"
"A customer has submitted a withdrawal request.","A customer has submitted a withdrawal request."
"General","General"
"Withdrawal Period","Withdrawal Period"
"Email","Email"
"Add","Add"
"Shipping Method","Shipping Method"
"Period (Days)","Period (Days)"
"Submitting...","Submitting..."
"Dear","Dear"
"Order","Order"
"Customer ID","Customer ID"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Date","Date"
"Items","Items"
"I exercise my","I exercise my"
"right of withdrawal,","right of withdrawal,"
"as I have the right to withdraw from this contract within fourteen days without giving any reason. The right of withdrawal does","as I have the right to withdraw from this contract within fourteen days without giving any reason. The right of withdrawal does"
"not","not"
"apply to distance contracts","apply to distance contracts"
"for the delivery of goods which are liable to deteriorate or expire rapidly;","for the delivery of goods which are liable to deteriorate or expire rapidly;"
"for the delivery of food and beverages;","for the delivery of food and beverages;"
"for the delivery of sealed goods which are not suitable for return due to health protection or hygiene reasons, if the seal has been removed.","for the delivery of sealed goods which are not suitable for return due to health protection or hygiene reasons, if the seal has been removed."
"may contact me to arrange the return of goods (excluding baked goods).","may contact me to arrange the return of goods (excluding baked goods)."
"Customer Email Subject","Customer Email Subject"
"Notification Email Subject","Notification Email Subject"
"No Delivery Date Shipping Method","No Delivery Date Shipping Method"
"No Delivery Date Withdrawal Period (Days)","No Delivery Date Withdrawal Period (Days)"
"Automatic credit memo for withdrawal request","Automatic credit memo for withdrawal request"
